text,vague,predicted_vague
"In 2021, we engaged a third party consultant to conduct a robust topic selection process in line with Sustainability Reporting Guidance for the Oil and Gas Industry (4th edition, 2020) developed by Ipieca, the American Petroleum Institute (API) and the International Association of Oil Gas Producers (IOGP) referred to as Ipieca API IOGP Guidance in this report 3 .
",specific,specific
"U.S. Green Building Council World Association of Zoos and Aquariums.
",notESG,notESG
"Eternals’ diverse team of heroes features the first Deaf character in the Marvel Cinematic Universe, played by Deaf actress Lauren Ridloff.
",notESG,notESG
"Nearly 1,300 employees participated in roughly 1,500 hours of development time across 163 sessions.
",notESG,notESG
"We have secured renewable electricity globally through power purchase agreements (PPAs), virtual power purchase agreements (VPPAs), onsite projects at six distribution centers, green power purchasing contracts, and by securing unbundled Energy Attribute Certificates (EACs) in select markets as a bridge solution.
",specific,specific
"Replenish benefits fall under three categories: Watershed Protection and Restoration (233.5 BL), Water for Productive Use (40.9 BL) and Water Access and Sanitation (17.4 BL).
",specific,specific
"Greenfield projects: Mero 4 (Brazil) and Block 10 (Oman).
",notESG,notESG
"For example, one program supports the United States Tennis Association Foundation’s National Junior Tennis Learning network.
",notESG,notESG
"Working with a wood recovery supplier, John Deere Augusta Works in Georgia was able to reuse nearly 600,000 pounds of wood.
",specific,specific
"In certain cases, it was determined that an artificial preservative was necessary to ensure the safety, quality, taste or value of the food.
",notESG,notESG
"For the remaining items, we continue to find and apply alternative coating materials that offer the right grease resistant barriers.
",ambiguous,ambiguous
"We also work to preserve nature and biodiversity as well to promote advanced water management practices.
",generic,generic
"Instead of decommissioning an asset, the company may choose to rehabilitate it.
",ambiguous,ambiguous
"Through this grant the Foundation will assist in the planting and protection of 12 million trees, with the aim of generating income for marginalized farmers, enhancing biodiversity, and strengthening vital ecosystems.
",specific,specific
"Fonroche Biogaz, with 500 GWh of installed manure from dairy farms to produce more with the goal of producing up to 1.5 TWh of capacity.
",ambiguous,ambiguous
"In 2022, the company gained value share in total nonalcoholic ready to drink beverages, led by share gains in India, Australia,.
",notESG,notESG
